Bee_ID,Diapause_NonDiapause,Sex,Date_emerged,Date_dead,Date_frozen,Thorax_length_mm,Notes,use_lifespan,old_cage_design,,,,
MR001,ND,M,8/10/23,10/4/23,10/4/23,2.21,,Y,Y,,,,
MR002,ND,M,8/10/23,10/15/23,10/16/23,2.17,,Y,Y,,,,
MR003,ND,M,8/10/23,8/13/23,8/13/23,2.19,,Y,Y,,,,
MR004,ND,M,8/10/23,,,,Escaped 8/24/23,N,Y,,,,
MR005,ND,M,8/10/23,10/15/23,10/16,2.09,,Y,Y,,,,
MR006,ND,M,8/10/23,9/21/23,9/21/23,2.07,,Y,Y,,,,
MR007,ND,M,8/10/23,10/13/23,10/13/23,2.19,,Y,Y,,,,
MR008,ND,M,8/10/23,8/12/23,8/12/23,2.09,,Y,Y,,,,
MR009,ND,M,8/11/23,8/28/23,8/28/23,1.87,recaught escapee,Y,Y,,,,
MR010,ND,M,8/11/23,8/12/23,8/12/23,2.04,,Y,Y,,,,
MR011,ND,M,8/11/23,10/18/23,10/18/23,1.85,,Y,Y,,,,
MR012,ND,M,8/11/23,8/24/23,NA,1.87,,Y,Y,,,,
MR013,ND,M,8/11/23,8/14/23,NA,1.91,,Y,Y,,,,
MR014,ND,M,8/11/23,10/3/23,10/3/23,2.20,,Y,Y,,,,
MR015,ND,M,8/11/23,8/14/23,NA,1.88,,Y,Y,,,,
MR016,ND,M,8/11/23,8/13/23,8/13/23,2.07,,Y,Y,,,,
MR017,ND,M,8/11/23,10/2/23,10/2/23,2.18,,Y,Y,,,,
MR018,ND,M,8/11/23,8/12/23,8/12/23,1.85,,Y,Y,,,,
MR019,ND,M,8/11/23,8/20/23,8/20/23,2.19,,Y,Y,,,,
MR020,ND,M,8/11/23,8/14/23,NA,1.69,,Y,Y,,,,
MR021,D,M,8/11/23,9/30/23,10/2/23,2.39,,Y,Y,,,,
MR022,D,M,8/11/23,,,2.16,,N,Y,,,,
MR023,D,M,8/11/23,10/10/23,10/10/23,2.26,,Y,Y,,,,
MR024,D,M,8/11/23,8/12/23,8/12/23,2.21,,Y,Y,,,,
MR025,D,M,8/11/23,10/22/23,10/23/23,2.30,,Y,Y,,,,
MR026,D,M,8/11/23,8/14/23,NA,2.42,,Y,Y,,,,
