beeID,avg_grey_value,treatment,sex,thorax
230729.01,41.99466667,D,F,2.36
230729.03,22.42733333,D,F,2.52
230729.04,38.888,D,F,2.45
230729.05,37.505,D,F,2.57
230729.07,65.89166667,D,F,2.6
230729.09,34.325,D,F,2.53
230729.1,46.41666667,D,F,2.16
230729.11,35.87266667,D,F,2.62
230729.13,8.885333333,D,F,2.54
230730.1,26.7415,D,F,2.34
230730.13,49.017,D,F,2.55
230801.01,46.38266667,ND,F,2.52
230801.02,56.30733333,ND,F,2.37
230801.03,34.09366667,ND,F,2.41
230801.04,27.58733333,ND,F,2.43
230801.05,32.61233333,ND,F,2.43
230801.07,36.04383333,ND,F,2.36
230801.08,37.50233333,ND,F,2.43
230801.09,30.93266667,D,F,2.61
230801.11,34.639,ND,F,2.42
230801.12,41.50033333,ND,F,2.49
230801.13,46.888,ND,F,2.28
230801.14,31.69933333,ND,F,2.54
230801.15,24.57766667,ND,F,2.22
230728.01,21.63016667,D,M,
230728.04,13.04,D,M,
230728.05,31.84733333,D,M,
230728.06,53.33566667,D,M,
230728.07,78.35533333,D,M,
230728.08,29.60333333,D,M,
230728.09,4.521666667,D,M,
230728.1,25.09566667,D,M,
230729.02,23.49333333,D,M,
230729.06,18.80566667,D,M,
230730.01,61.79133333,ND,M,
230730.02,52.467,ND,M,
230730.03,31.77466667,ND,M,
230730.04,31.19566667,ND,M,
230730.05,25.77033333,ND,M,
230730.06,45.042,ND,M,
230730.07,20.624,ND,M,
230730.08,42.938,ND,M,
230730.09,71.794,ND,M,
230730.11,51.14233333,D,M,
230730.12,23.45433333,ND,M,
230801.1,11.92233333,ND,M,
